num,word,HF01,HF02,HF03,HM01,HM02,HM04,HM05
1,AATM,2,4,2,4,3,2,1
2,AHGR,2,4,2,4,3,2,2
3,AHLP,2,4,2,4,3,2,2
4,AHN,2,4,2,4,3,2,2
5,AHRDH,2,4,2,2,4,2,2
6,AHst,2,4,2,4,3,2,2
7,BAHND,2,4,2,4,3,2,2
8,BAHRPH,2,4,2,4,3,2,2
9,BHAAGY,2,4,2,4,3,2,1
10,BHAAMP,2,4,2,1,3,2,2
11,BHAHSM,2,4,2,4,3,2,3
12,BHIYN,2,4,2,4,3,2,2
13,BHRAHst,X,4,2,4,3,2,4
14,BRAHM,4,3,X,3,3,1,1
15,BUWND,2,4,2,4,3,2,2
16,BUWRJ,1,4,2,4,3,2,2
17,BYAAH,2,4,2,4,3,2,X
18,CHAHKR,2,4,2,4,3,2,2
19,CHAHND,2,4,2,4,3,2,2
20,CHHIN,2,4,2,4,3,2,2
21,CHIYHN,2,4,2,3,4,X,2
22,CHIYT,2,4,2,4,3,2,2
23,CHUWST,2,4,2,4,3,2,2
24,dAANt,2,4,2,4,3,2,2
25,DAHnd,2,4,2,2,3,2,2
26,DHAHNY,2,4,2,4,3,2,1
27,dHUNdH,2,4,2,3,4,2,2
28,DHUWT,2,4,2,4,3,2,2
29,DHVAHJ,2,4,2,3,3,2,2
30,DIYRGH,2,4,2,4,3,2,2
31,DIYVY,2,4,2,4,3,2,1
32,DRAHVY,2,4,2,4,3,2,1
33,DRISHY,2,X,2,1,3,2,1
34,DUWst,2,4,2,4,3,2,2
35,DVIYP,2,4,2,1,X,2,2
36,GAANtH,2,4,3,4,3,2,2
37,GAHNDH,2,3,2,3,3,2,X
38,GIYDH,2,4,2,2,1,2,2
39,GIYRD,2,4,2,4,3,2,2
40,GRAAMY,2,4,2,4,3,2,1
41,GRAHH,2,4,2,4,3,2,2
42,GRAHNTH,2,4,2,4,3,2,2
43,GRAHST,2,4,2,4,3,2,2
44,HAANPH,2,4,2,3,2,2,2
45,HAHNS,4,X,2,X,1,2,2
46,HUWSN,2,4,2,4,3,2,2
47,IYNt,2,4,2,4,3,2,2
48,IYSHK,3,4,2,4,3,2,2
49,JAANGH,2,4,2,4,4,4,2
50,JAHKHM,1,4,2,4,1,2,2
51,JANCH,2,4,2,4,3,2,2
52,JHUWNd,2,4,2,4,3,2,2
53,JIYBH,2,4,2,4,3,2,2
54,JIYN,2,4,2,4,3,2,2
55,JVAAR,2,4,2,4,3,2,2
56,JYOWN,2,4,2,4,3,2,2
57,KAAnd,2,4,2,4,3,2,2
58,KAHBR,2,4,2,4,3,2,2
59,KAHDR,2,4,2,4,3,2,2
60,KAHNtH,2,4,2,1,4,2,2
61,KAHst,2,4,2,4,3,2,2
62,KAHTL,2,4,2,4,1,2,2
63,KAVJ,2,4,2,4,3,2,4
64,KHAHnd,2,4,2,4,3,2,2
65,KHIYCH,2,4,2,3,3,2,2
66,KHVAAB,2,4,2,3,3,X,2
67,KHYAAL,2,4,2,4,3,2,2
68,KIYSHT,2,4,2,4,3,2,2
69,KIYSM,2,4,2,4,3,2,2
70,KRIYTY,2,X,2,X,3,X,2
71,KRUWR,2,4,2,4,3,2,2
72,KsAHT,1,X,2,X,1,2,X
73,KsAHY,2,4,2,4,3,2,2
74,KsIYn,2,3,2,4,4,2,2
75,KYUWN,2,4,2,4,4,2,2
76,LAANGH,2,1,2,4,3,4,1
77,LAHGN,2,2,2,4,3,2,2
78,LIYNG,4,4,2,4,3,2,2
79,LUTPH,2,4,2,4,3,2,2
80,LUWPT,2,4,2,4,3,4,2
81,MAANG,2,4,2,4,3,X,2
82,MAANY,2,4,2,4,3,2,2
83,MAHDY,3,1,4,3,1,X,X
84,MAHTSY,2,4,2,3,3,2,2
85,MIYRTSH,2,2,2,4,3,2,2
86,MUWGDH,2,4,2,4,2,2,2
87,MUWLK,2,2,2,4,3,2,2
88,MUWNCH,2,4,2,1,3,2,2
89,MUWRKH,2,4,2,4,3,2,2
90,NAAtY,2,4,2,4,3,2,3
91,NAHBJ,2,4,2,X,3,2,2
92,NAHSL,2,4,2,4,3,2,2
93,NIYTY,2,4,2,4,3,2,2
94,NIYV,2,4,2,3,2,2,2
95,PAANCH,2,4,2,4,3,2,2
96,PAHt,2,4,2,1,3,2,2
97,PHAAND,2,3,2,4,2,2,2
98,PHIYKR,2,4,2,4,3,2,2
99,PIYT,2,3,2,4,3,2,2
100,PRAANT,2,2,2,4,3,2,2
101,PRAHn,2,4,2,4,3,3,2
102,PRIYstH,1,X,2,X,3,X,2
103,PUWDJY,4,4,2,X,1,3,3
104,PUWNJ,2,4,2,X,3,X,2
105,PYAAJ,2,4,2,4,3,2,2
106,RAHDD,2,4,2,3,4,2,2
107,RAHSM,2,4,2,4,3,2,2
108,RAHTN,2,4,2,4,3,2,2
109,RIYS,2,4,2,4,3,2,3
110,SAAKsY,2,4,2,4,3,2,2
111,SAANDHY,2,2,2,4,3,2,2
112,SAHBHY,2,4,2,3,3,2,4
113,SAHN,2,4,2,4,3,2,2
114,SHAHBD,2,4,2,4,3,2,2
115,SHAHKHS,2,4,2,4,3,2,2
116,SHAHKL,2,4,2,4,3,2,2
117,SHAHNKH,2,4,2,4,3,2,2
118,SHAHSTR,2,4,2,4,3,2,2
119,SHIYLP,2,4,2,4,3,2,2
120,SHIYRn,3,4,2,4,4,2,2
121,SHIYRs,4,4,2,4,2,2,2
122,SHIYsY,2,4,2,X,2,2,2
123,SHRAAP,2,4,2,4,3,2,2
124,SHUWBH,2,4,2,4,3,2,2
125,SHUWKR,2,4,2,4,3,2,2
126,SHUWNY,2,4,2,4,3,2,2
127,SHVAAN,2,4,2,4,3,2,2
128,SPAHRSH,1,4,2,3,1,2,2
129,STAHBDH,2,4,2,4,3,2,2
130,STAHN,2,4,2,4,3,2,2
131,STAHNBH,4,4,2,4,3,2,1
132,STHIYR,2,1,2,4,3,2,2
133,STRIY,3,4,2,4,3,2,2
134,SUWKsM,1,4,2,3,3,2,2
135,SUWN,2,4,2,4,3,2,2
136,SVAAD,2,4,2,4,3,2,2
137,SVAARTH,2,4,2,4,3,2,2
138,SVAHNY,2,X,2,4,3,2,X
139,SVAHRG,2,4,2,4,3,2,2
140,SVAHSTHY,4,4,2,4,3,2,2
141,TAHKHT,1,X,3,1,1,2,3
142,TAHTHY,2,4,2,X,3,2,2
143,TAHTV,2,4,2,4,3,2,2
144,tHUWNS,2,2,2,4,3,2,2
145,TIYVR,2,4,2,4,3,2,2
146,TRAHST,1,4,2,1,2,2,2
147,TRIYPT,1,X,2,X,3,X,2
148,TUWLY,2,4,2,4,3,2,2
149,TYAAG,2,4,2,4,3,2,2
150,TYOWN,2,4,2,4,3,2,2
151,UWNt,2,4,2,4,3,2,2
152,VAAKJ,2,4,2,4,3,2,1
153,VAHJR,2,4,2,4,3,2,2
154,VAHNSH,2,4,2,4,3,2,2
155,VAHSTR,2,4,2,4,3,2,2
156,VIYGHN,2,4,2,4,3,2,2
157,VIYs,2,4,2,4,3,2,2
158,VRIYDGH,2,X,2,2,4,2,2
159,VYAAS,2,4,2,4,3,2,2
160,VYAHNG,2,4,2,4,3,2,2
161,VYAHNGY,2,4,2,4,3,4,2
162,VYAHRTH,2,4,2,4,3,2,2
163,YAHTN,2,4,2,4,3,2,2
164,YUWKT,2,4,2,4,3,2,2
165,JIYD,2,4,2,4,3,2,2
166,JVAAR,2,4,2,4,3,2,2
167,KAAstH,2,4,2,4,3,2,2
168,TIYKsn,2,4,2,4,3,2,2
169,KHINN,2,4,2,4,3,2,2